city,url
PEK,http://mrspai.pixnet.net/blog/post/30384236
SHA,http://spporchyi.pixnet.net/blog/post/101258209
SIA,http://www.bobotravel.tw/blog/post/177287853
HGH,http://9c98f7ec738fe8fa99a12b72f968391788013793.aniseblog.tw/blog/post/32647721-%e6%9d%ad%e5%b7%9e%e6%97%85%e9%81%8a%ef%bc%8e%e8%87%aa%e8%a1%8c%e8%bb%8a%e9%81%8a%e8%a5%bf%e6%b9%96-%402013%e8%a5%bf%e6%b9%96%e5%b0%8f%e6%97%85%e8%a1%8c
DLC,http://hsing16.pixnet.net/blog/post/33063910
TAO,http://drugs.pixnet.net/blog/post/44385268
FOC,http://bobby1018.pixnet.net/blog/post/106021466-%e3%80%90%e6%84%9b%e7%8e%a9%e5%ae%a2%e3%80%91%e9%a6%ac%e4%be%86%e8%a5%bf%e4%ba%9e%e4%bb%8b%e7%b4%b9.%e5%8f%a4%e6%99%89%e7%be%8e%e9%a3%9f.%e5%93%a5%e7%be%85%e9%ba%b5.%e7%a6%8f
XMN,http://www.bobotravel.tw/blog/post/175940322
KMG,http://www.teresablog.com/blog/post/32624547
NKG,http://disni.pixnet.net/blog/post/42421120
CTU,http://arosa5433.pixnet.net/blog/post/275812259
CAN,http://hellotasha.pixnet.net/blog/post/368375015
CKG,http://andyseikatsu621.pixnet.net/blog/post/27553066
SYX,http://smilejean.pixnet.net/blog/post/39731218
HRB,http://echo978.pixnet.net/blog/post/48100800
SZX,http://www.teresablog.com/blog/post/20210538
HKG,http://www.bigfang.tw/blog/post/31466815
MFM,http://drugs.pixnet.net/blog/post/29319153-%e6%be%b3%e9%96%80%e8%87%aa%e7%94%b1%e8%a1%8c-%e9%85%92%e5%ba%97-%e7%be%8e%e9%a3%9f-%e6%99%af%e9%bb%9e
TPE,http://john547.pixnet.net/blog/post/113891876-%e6%a1%83%e5%9c%92%e6%a9%9f%e5%a0%b4%e6%8d%b7%e9%81%8b
KHH,http://na10816.pixnet.net/blog/post/452901056
TYO,http://cline1413.com.tw/blog/post/401562604
OSA,http://cline1413.com.tw/blog/post/401562604
NGO,http://crystal1983.pixnet.net/blog/post/307034814-%e3%80%902017%e6%97%a5%e6%9c%ac%e5%a5%bd%e5%a5%bd%e8%b2%b7%e2%9c%88%e7%be%8e%e5%a6%9d%e8%97%a5%e5%a6%9d%e6%8e%a8%e8%96%a6%e3%80%91%e2%93%91%e2%93%a4%e2%93%a8%e6%97%a5
SPK,http://ch3126.pixnet.net/blog/post/106105013
FUK,http://cline1413.com.tw/blog/post/407804155
OKA,http://crystal1983.pixnet.net/blog/post/307034814-%e3%80%902017%e6%97%a5%e6%9c%ac%e5%a5%bd%e5%a5%bd%e8%b2%b7%e2%9c%88%e7%be%8e%e5%a6%9d%e8%97%a5%e5%a6%9d%e6%8e%a8%e8%96%a6%e3%80%91%e2%93%91%e2%93%a4%e2%93%a8%e6%97%a5
PUS,http://millychun.pixnet.net/blog/post/32072114
SIN,http://wkitty.tw/blog/post/33310093
KUL,http://pj20120619.pixnet.net/blog/post/191515911-%e3%80%90%e9%a6%ac%e4%be%86%e8%a5%bf%e4%ba%9e-%e6%97%85%e9%81%8a%e3%80%91%e5%90%89%e9%9a%86%e5%9d%a1%e5%8d%81%e5%a4%a7%e6%99%af%e9%bb%9e%e7%b2%be%e8%8f%af%e7%af%87-%e6%94%be
PEN,http://qpjj.pixnet.net/blog/post/5585089
BKK,http://bangkokgoplay.pixnet.net/blog/post/62333183
CNX,http://john547.pixnet.net/blog/post/104049766-chiang-mai
HKT,http://qpjj.pixnet.net/blog/post/4685430
KCH,http://bobby1018.pixnet.net/blog/post/106021466-%e3%80%90%e6%84%9b%e7%8e%a9%e5%ae%a2%e3%80%91%e9%a6%ac%e4%be%86%e8%a5%bf%e4%ba%9e%e4%bb%8b%e7%b4%b9.%e5%8f%a4%e6%99%89%e7%be%8e%e9%a3%9f.%e5%93%a5%e7%be%85%e9%ba%b5.%e7%a6%8f
JKT,http://chinchingo.pixnet.net/blog/post/66338200-%e3%80%90%e5%8d%b0%e5%b0%bc%e3%80%91%e9%9b%85%e5%8a%a0%e9%81%94%e8%b3%bc%e7%89%a9%e5%bf%85%e8%b2%b7%e6%94%bb%e7%95%a5-%e6%88%b0%e5%88%a9%e5%93%81%e5%88%86%e4%ba%ab
DPS,http://pj20120619.pixnet.net/blog/post/187799295-%e3%80%90%e5%b3%87%e9%87%8c%e5%b3%b6%e8%b3%bc%e7%89%a9%e3%80%91%e5%9a%b4%e9%81%b8%27%2710%e5%a4%a7%27%27%e5%bf%85%e8%b2%b7-%e5%b7%b4%e9%87%8c%e5%b3%b6%e7%b4%80%e5%bf%b5
HAN,http://maggiesu.pixnet.net/blog/post/9035533
PNH,http://bienjustin.pixnet.net/blog/post/38950690
SGN,http://wkitty.tw/blog/post/33014482
VTE,http://bangkokgoplay.pixnet.net/blog/post/46020327
MNL,http://pink.pixnet.net/blog/post/25943126
CEB,http://hsinyu1130.pixnet.net/blog/post/209003590-%e3%80%902016%e8%87%aa%e5%8a%a9%e6%94%bb%e7%95%a5%e3%80%91%e8%8f%b2%e5%be%8b%e8%b3%93%e5%ae%bf%e9%9c%a7cebu%e8%96%84%e8%8d%b7%e5%b3%b6bohol%e5%9b%9b
BKI,http://www.bigfang.tw/blog/post/40452883
SPN,http://murasakikuma.pixnet.net/blog/post/91065100-%5b%e9%81%8a%e8%a8%98%5d-%e9%97%9c%e5%b3%b6%e5%a1%9e%e7%8f%ad%e5%b3%b6%5b3%5d---%e4%bd%8f%e5%9c%a8%e5%a1%9e%e7%8f%ad%e2%80%a7%e7%8e%a9%e5%9c%a8%e5%a1%9e%e7%8f%ad%e2%80%a7
MEX,http://drugs.pixnet.net/blog/post/44813410
SAO,http://jay7134.pixnet.net/blog/post/156252806
SJO,http://jay7134.pixnet.net/blog/post/187859715
LON,http://jay7134.pixnet.net/blog/post/180518436
PAR,http://chen50hero.pixnet.net/blog/post/177487836
ZRH,http://www.bigfang.tw/blog/post/42240709
BER,http://bienjustin.pixnet.net/blog/post/29403203
HAM,http://yoyovilla.pixnet.net/blog/post/19312974
FRA,http://wicmau.pixnet.net/blog/post/17303915
CGN,http://stellahyc.com/blog/post/61925845
WAW,http://chihyuan7772.pixnet.net/blog/post/28304469
AMS,http://jay7134.pixnet.net/blog/post/197021463
BRU,http://baw1031.pixnet.net/blog/post/41723257
VIE,http://b92110087.pixnet.net/blog/post/38204852
PRG,http://ireneslife.com/blog/post/373616984
BUD,http://shishashabi.pixnet.net/blog/post/285485956
ATH,http://jay7134.pixnet.net/blog/post/200605674
MIL,http://sandradra.pixnet.net/blog/post/201851449
ROM,http://p.lillianblog.com/blog/post/59285581
BCN,http://drugs.pixnet.net/blog/post/37358564-barcelona-travel
STR,http://vivishang0415.pixnet.net/blog/post/53881318-%e5%be%b7%e5%9c%8b-%7c-stuttgart%e6%96%af%e5%9c%96%e5%8a%a0%e7%89%b9%e3%80%82%e5%90%8d%e8%bb%8a%e3%80%81%e7%be%8e%e9%85%92%e3%80%81%e5%85%a8%e4%b8%96%e7%95%8c
EDI,http://iedaniel.pixnet.net/blog/post/31873120
IST,http://jay7134.pixnet.net/blog/post/196757190
LIS,http://tsaipei525.pixnet.net/blog/post/436073230
MAD,http://haruhii.pixnet.net/blog/post/43649878-%e8%a5%bf%e7%8f%ad%e7%89%99%e9%a6%ac%e5%be%b7%e9%87%8c%e8%87%aa%e5%8a%a9%e9%a6%ac%e5%be%b7%e9%87%8c%e6%99%af%e9%bb%9e%e8%a1%8c%e7%a8%8b%e9%a6%ac%e5%be%b7%e9%87%8c%e8%bf%91%e9%83%8a
CPH,http://michaelkiefer.pixnet.net/blog/post/28726217
HEL,http://reiko0403.pixnet.net/blog/post/103200532
NCE,http://p.lillianblog.com/blog/post/60544795
NYK,http://junjunjun.pixnet.net/blog/post/38582767
BOS,http://junjunjun.pixnet.net/blog/post/38582767
WAS,http://cheers090.pixnet.net/blog/post/319456821-%e6%9d%b1%e4%ba%ac%e4%bd%8f%e5%ae%bf%e2%98%80%e5%a4%9c%e6%99%af%e8%b6%85%e7%be%8e%e9%9d%a0%e8%bf%91%e5%8f%b0%e5%a0%b4%e5%95%86%e5%9c%88-%e6%9d%b1%e4%ba%ac%e7%81%a3%e6%9c%89
CHI,http://lukai09.pixnet.net/blog/post/29102928
LAS,http://sweethome1108.pixnet.net/blog/post/254592566
PDX,http://penny1205.pixnet.net/blog/post/40896537
SFO,http://tomattoo.pixnet.net/blog/post/23778284
LAX,http://tomattoo.pixnet.net/blog/post/9744643
SEA,http://studentmadame915.pixnet.net/blog/post/96771145
GUM,http://abcfamily88.pixnet.net/blog/post/113165609
ORL,http://rusin2.pixnet.net/blog/post/32935927
SAT,http://drugs.pixnet.net/blog/post/44966360
HNL,http://stellahyc.com/blog/post/57442281
YVR,http://anniecafe.pixnet.net/blog/post/17280437
YYZ,http://tiffwu.pixnet.net/blog/post/14802580
AMM,http://jay7134.pixnet.net/blog/post/190879434
MRU,http://kirara5230.pixnet.net/blog/post/172607841
DXB,http://jay7134.pixnet.net/blog/post/175572579
