cht,eng
北京,PEK
上海,SHA
天津,TSN
西安,SIA
杭州,HGH
大連,DLC
青島,TAO
福州,FOC
廈門,XMN
昆明,KMG
南京,NKG
汕頭,SWA
桂林,KWL
成都,CTU
廣州,CAN
海口,HAK
長沙,CSX
煙台,YNT
重慶,CKG
溫州,WNZ
三亞,SYX
哈爾濱,HRB
深圳,SZX
南昌,KHN
城市,機場縮寫
香港,HKG
澳門,MFM
台北,TPE
高雄,KHH
城市,機場縮寫
東京,TYO
大阪,OSA
名古屋,NGO
札幌,SPK
福岡,FUK
沖繩,OKA
漢城,SEL
釜山,PUS
城市,機場縮寫
新加坡,SIN
吉隆坡,KUL
檳城,PEN
怡保,IPH
曼谷,BKK
清邁,CNX
普吉島,HKT
古晉,KCH
雅加達,JKT
巴里島,DPS
棉蘭,MES
巨港,PLM
泗水,SUB
仰光,RGN
河內,HAN
金邊,PNH
西貢,SGN
永珍,VTE
馬尼拉,MNL
宿霧,CEB
帝利,DIL
亞庇,BKI
達卡,DAC
詩鄔,SBW
塞班,SPN
汶來,BWN
新得里,DEL
喀布爾,KBL
吉大港,CGP
喀拉蚩,KHI
東加大埔,TBU
諾魯,INU
碧港,BAG
孟買,BOM
可倫坡,CMB
加爾各答,CCU
馬德拉斯,MAA
加得滿都,KTM
地名,機場縮寫
墨西哥,MEX
聖薩爾瓦多,SAL
巴拿馬,PTY
哈瓦納,BOG
波哥大,UIO
基多,LIM
利馬,SCL
聖地牙哥,SAN
布宜諾艾利斯,BUE
聖保羅,SAO
里約熱內盧,RIO
巴西利亞,BSB
加拉加斯,CCS
開雪,CAY
蒙地維多,MVD
馬拿瓜,MGA
瓜地馬拉,GUA
聖多明哥,SDQ
拉巴斯,LPB
京士頓,KIN
聖湖安,SJU
太子港,PAP
蒙特哥灣,MBJ
聖約瑟,SJO
德古斯加巴,TGU
亞加普科,ACA
橋鎮,BGI
西班牙港,POS
亞松森,ASU
瑪瑙斯,MAO
雷雪夫,REL
巴拉馬利波,PBM
喬治市,GRG
城市,機場縮寫
倫敦,LON
巴黎,PAR
日內瓦,GVA
蘇黎世,ZRH
柏林,BER
漢堡,HAM
法蘭克福,FRA
科隆,CGN
幕尼黑,MUC
都伯林,DUB
汕隆,SNN
華沙,WAW
阿姆斯特丹,AMS
布魯塞爾,BRU
維也納,VIE
布拉格,PRG
布達佩斯,BUD
雅典,ATH
米蘭,MIL
羅馬,ROM
巴塞隆納,BCN
波昂,BNJ
杜塞道夫,DUS
斯圖加特,STR
愛丁堡,EDI
索非亞,SOF
伊斯坦堡,IST
里斯本,LIS
馬德里,MAD
直布羅陀,GIB
貝爾格來得,BEG
布加勒斯,BUH
曼徹斯特,MAN
哥本哈根,CPH
奧斯陸,OSL
斯德哥爾摩,STO
赫爾辛基,HEL
格拉斯哥,GLA
尼斯,NCE
地名,機場縮寫
紐約,NYK
費城,PHL
波士頓,BOS
華盛頓,WAS
芝加哥,CHI
底特律,DTT
匹茲堡,PIT
克里夫蘭,CLE
水牛城,BUF
印第安那,IND
聖路易,STL
明尼亞玻利,MSP
堪薩斯城,MKC
休斯頓,HOU
達拉斯,DFW
新奧爾良,MSY
奧克拉荷馬城,OKC
亞特蘭大,ATL
邁阿密,MIA
吐桑,TUS
小岩石城,LIT
辛辛那提,CVG
丹佛,DEN
鳳凰城,PHX
鹽湖城,SLC
拉斯維加斯,LAS
阿波寇爾喀,ABQ
波特蘭,PDX
舊金山,SFO
洛杉磯,LAX
西雅圖,SEA
安克拉治,ANC
關島,GUM
奧蘭多,ORL
聖荷西,SJC
聖安東尼,SAT
米爾瓦基,MKE
巴爾的摩,MTN
夏威夷,HNL
溫哥華,YVR
多倫多,YYZ
渥太華,YOW
蒙特婁,YMQ
溫尼伯,YMG
卡加立,YYC
愛德頓,YEA
干達,YQX
哈立法克斯,YHZ
地名,機場縮寫
開羅,CAI
開普敦,CPT
貝魯特,BEY
台拉維夫,TLV
大馬士革,DAM
安曼,AMM
吉達,JED
巴林,BAH
約翰尼斯堡,JNB
金夏沙,FIA
馬爾他,MLA
突尼斯,TUN
達卡,DKR
班基,BGF
布拉薩市,BZV
模里西斯,MRU
杜拜,DXB
科威特,KWI
巴格達,BGW
德黑蘭,THR
地黎波斯,TIP
阿爾吉爾,ALG
卡薩馬達卡,CAS
拉斯馬巴斯,LPA
科那克里,CKY
自由城,FNA
巴馬科,BKO
阿必尚,ABJ
蒙羅維亞,MLW
尼阿美,NIM
阿克拉,ACC
瓦加杜古,OUA
拉米堡,FTL
亞恩德,YAO
科多努,COO
拉哥斯,LOS
自由府,LVB
盧安達,LAD
溫黎克,WDH
卡吐穆,KRT
伊斯坦堡,IST
安卡拉,ANK
亞丁,ADE
馬斯開特,MCT
阿巴具,ABD
塔那那次棉,TNR
愛丁堡,EDI
洛梅,LFW
馬基魯,MSU
馬基尼,MTS
杜哈,DOH
達蘭,DHA
利雅德,RUH
里郎威,LLW
恩將納,NDJ
達來撤蘭,DAR
露沙卡,LUN
摩加迪修,MGO
恩特比/坎帕拉,EBB
阿迪斯阿魯巴,ADD
奈洛彼,NBO
布蘭太,BLZ
魯倫素馬凱斯,LUM
索斯伯里,SAY
地名,機場縮寫
達爾文,DRW
伯斯,PER
雪梨,SYD
布里斯本,BNE
坎培拉,CBR
墨爾本,MEB
基督城,CHC
威靈頓,WLG
奧克蘭,AKL
努美亞,NOU
南地,NAN
巴哥巴哥,PPG
凱恩斯,CNS
何巴特,HBT
摩勒斯比港,POM
蘇瓦,SUV
大溪地,PPT
